FILE_VERSION	2.0.0
NO_OF_FRAMES	7500
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
DESCRIPTION	--
TIME_STAMP	2025-11-04, 16:06:49.483	137773.03318230
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
-110.502	7.252	249.192
-108.864	7.365	248.912
-107.251	7.383	248.591
-105.525	7.539	248.231
-103.740	7.742	247.912
-102.079	7.765	247.601
-100.391	7.901	247.289
-98.776	7.967	247.010
-97.089	8.027	246.672
-95.435	8.018	246.456
-93.451	8.422	246.082
-91.743	8.470	245.801
-90.063	8.518	245.467
-88.321	8.650	245.232
-86.607	8.686	244.981
-84.879	8.752	244.684
-83.177	8.835	244.463
-81.371	8.939	244.131
-79.630	9.031	243.920
-77.579	9.418	243.558
-75.819	9.469	243.381
-73.998	9.583	243.074
-72.208	9.665	242.859
-70.396	9.756	242.553
-68.625	9.812	242.377
-66.801	9.884	242.066
-64.953	10.013	241.872
-63.125	10.132	241.591
-61.279	10.212	241.387
-59.420	10.300	241.138
-57.583	10.441	240.931
-55.711	10.532	240.698
-53.849	10.619	240.487
-51.963	10.731	240.273
-50.104	10.819	240.053
-48.237	10.940	239.887
-46.328	11.068	239.691
-44.382	11.159	239.476
-42.487	11.347	239.342
-40.572	11.427	239.126
-38.695	11.557	238.983
-36.718	11.710	238.785
-35.060	11.598	238.678
-33.073	11.733	238.503
-31.143	11.890	238.339
-29.202	11.993	238.185
-27.331	12.098	238.068
-25.466	12.251	237.911
-23.439	12.359	237.745
-21.492	12.518	237.625
-19.671	12.523	237.535
-17.737	12.619	237.433
-15.673	12.759	237.271
-13.730	12.994	237.167
-11.777	13.040	237.089
-10.037	12.957	237.033
-8.054	13.158	236.927
-6.012	13.318	236.829
-3.934	13.575	236.730
-2.095	13.630	236.662
-0.244	13.564	236.643
1.775	13.729	236.524
3.774	13.957	236.503
5.830	14.218	236.442
7.576	13.987	236.391
9.666	14.214	236.395
11.627	14.449	236.353
13.740	14.644	236.251
15.529	14.606	236.291
17.531	14.704	236.284
19.566	14.955	236.247
21.301	14.770	236.260
23.391	15.024	236.229
25.473	15.258	236.257
27.445	15.359	236.284
29.318	15.368	236.270
31.352	15.587	236.314
33.424	15.801	236.359
35.166	15.685	236.401
37.276	15.958	236.363
39.101	15.871	236.429
41.115	16.038	236.504
43.169	16.272	236.567
44.924	16.183	236.644
47.032	16.434	236.679
49.031	16.595	236.783
50.822	16.613	236.825
52.811	16.740	236.889
54.711	16.831	236.991
56.666	16.956	237.081
58.850	17.268	237.191
60.629	17.239	237.312
62.643	17.443	237.404
64.304	17.285	237.422
66.330	17.557	237.622
68.309	17.635	237.706
70.258	17.758	237.863
72.066	17.863	237.966
73.944	17.967	238.128
75.769	17.934	238.277
77.746	18.106	238.377
79.548	18.121	238.533
81.453	18.216	238.701
83.324	18.362	238.835
85.380	18.598	239.024
87.154	18.578	239.189
89.116	18.739	239.404
90.927	18.800	239.521
92.870	18.935	239.769
94.662	18.986	239.946
96.667	19.238	240.150
98.488	19.258	240.371
100.433	19.546	240.557
102.255	19.557	240.802
104.114	19.662	241.011
105.952	19.825	241.270
107.844	19.988	241.524
109.640	20.172	241.767
111.407	20.222	242.032
113.266	20.394	242.277
115.087	20.486	242.479
