FILE_VERSION	2.0.0
NO_OF_FRAMES	30000
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
DESCRIPTION	--
TIME_STAMP	2025-11-05, 17:26:47.237	228970.38260560
DATA_INCLUDED	3D
MARKER_NAMES	New 0000
TRAJECTORY_TYPES	Measured
-283.788	11.712	290.133
-284.825	11.772	290.643
-285.878	11.860	291.078
-286.879	11.983	291.583
-287.885	12.103	292.056
-288.925	11.977	292.469
-289.867	12.152	292.959
-290.883	12.133	293.393
-291.782	12.302	293.796
-292.747	12.421	294.376
-293.682	12.448	294.722
-294.609	12.509	295.222
-295.487	12.543	295.580
-296.369	12.697	296.066
-297.244	12.628	296.439
-298.083	12.690	296.855
-298.848	12.760	297.213
-299.678	12.842	297.505
-300.378	13.085	297.832
-301.194	12.903	298.282
-301.975	12.922	298.738
-302.686	13.046	299.027
-303.420	13.082	299.471
-304.091	13.106	299.706
-304.819	13.221	300.014
-305.479	13.107	300.329
-306.123	13.339	300.621
-306.717	13.328	301.101
-307.383	13.320	301.285
-307.952	13.422	301.542
-308.549	13.353	301.810
-309.148	13.448	302.104
-309.653	13.568	302.364
-310.253	13.411	302.612
-310.772	13.402	302.901
-311.323	13.280	303.194
-311.756	13.500	303.379
-312.160	13.611	303.640
-312.619	13.768	303.875
-313.093	13.624	304.141
-313.496	13.681	304.284
-313.910	13.728	304.436
-314.270	13.853	304.645
-314.609	13.716	304.855
-314.947	13.855	305.046
-315.315	13.787	305.146
-315.577	14.005	305.358
-315.895	13.975	305.512
-316.168	13.840	305.668
-316.482	13.852	305.843
-316.698	14.025	305.938
-316.884	14.099	306.057
-317.170	14.099	306.174
-317.336	14.077	306.264
-317.542	14.018	306.332
-317.679	14.106	306.427
-317.846	14.149	306.537
-318.021	14.081	306.534
-318.105	14.108	306.589
-318.211	14.213	306.624
-318.295	14.241	306.716
-318.376	14.215	306.754
-318.388	14.260	306.761
-318.424	14.221	306.780
-318.424	14.264	306.777
-318.415	14.277	306.763
-318.415	14.259	306.763
-318.379	14.254	306.735
-318.317	14.268	306.707
-318.284	14.178	306.689
-318.214	14.207	306.673
-318.090	14.136	306.587
-317.958	14.225	306.553
-317.809	14.195	306.476
-317.628	14.236	306.374
-317.492	14.101	306.292
-317.159	14.367	306.199
-317.070	14.059	306.063
-316.887	14.128	305.964
-316.665	14.114	305.830
-316.368	14.131	305.711
-316.115	14.001	305.594
-315.783	14.013	305.425
-315.504	13.944	305.287
-315.231	14.014	305.122
-314.868	14.019	304.910
-314.530	13.961	304.830
-314.189	13.848	304.557
-313.792	13.840	304.357
-313.423	13.881	304.181
-312.866	14.045	303.945
-312.525	13.918	303.752
-312.079	13.909	303.488
-311.607	13.752	303.315
-311.017	13.808	303.006
-310.606	13.621	302.822
-310.081	13.785	302.522
-309.376	13.998	302.303
-308.972	13.771	301.975
-308.423	13.700	301.726
-307.731	13.811	301.502
-307.194	13.665	301.173
-306.486	13.829	300.898
-305.874	13.674	300.578
-305.339	13.548	300.199
-304.598	13.532	300.002
-303.975	13.487	299.558
-303.279	13.356	299.337
-302.540	13.481	298.859
-301.826	13.321	298.504
-301.066	13.436	298.117
-300.265	13.350	297.812
-299.439	13.488	297.395
-298.796	13.129	297.066
-297.896	13.260	296.614
-297.107	13.053	296.333
-296.115	13.338	295.794
-295.348	12.971	295.460
-294.432	13.151	295.022
-293.532	12.915	294.624
-292.482	13.185	294.177
-291.663	12.827	293.698
-290.707	12.880	293.300
-289.763	12.613	292.842
-288.818	12.674	292.399
-287.686	12.631	291.910
-286.746	12.560	291.461
